Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41215,Exact,0,Acer buergerianum,Acer buergerianum Miq.,Acer buergerianum,946S,Acer buergerianum Miq.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer buergerianum,
BestMatch,9.41215,Exact,0,Acer campestre,Acer campestre L.,Acer campestre,946Z,Acer campestre L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer campestre,
BestMatch,9.41215,Exact,0,Acer capillipes,Acer capillipes Maxim. ex Miq.,Acer capillipes,9473,Acer capillipes Maxim. ex Miq.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer capillipes,
BestMatch,9.41215,Exact,0,Acer cappadocicum,Acer cappadocicum Gled.,Acer cappadocicum,9474,Acer cappadocicum Gled.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer cappadocicum,
BestMatch,9.41215,Exact,0,Acer carpinifolium,Acer carpinifolium Siebold & Zucc.,Acer carpinifolium,9476,Acer carpinifolium Siebold & Zucc.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer carpinifolium,
BestMatch,9.41215,Exact,0,Acer cissifolium,Acer cissifolium (Siebold & Zucc.) K.Koch,Acer cissifolium,92R4R,Acer cissifolium (Siebold & Zucc.) K.Koch,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer cissifolium,
BestMatch,9.41215,Exact,0,Acer davidii,Acer davidii Franch.,Acer davidii,948G,Acer davidii Franch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer davidii,
BestMatch,9.41180,Exact,0,Acer ginnala,Acer ginnala Maxim.,Acer ginnala,949V|5FD3V|949V,Acer tataricum subsp. ginnala (Maxim.) Wesm.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer tataricum|Acer tataricum ginnala,
BestMatch,9.41215,Exact,0,Acer griseum,Acer griseum (Franch.) Pax,Acer griseum,64FH6,Acer griseum (Franch.) Pax,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer griseum,
BestMatch,9.41215,Exact,0,Acer hyrcanum,Acer hyrcanum Fisch. & C.A.Mey.,Acer hyrcanum,94B5,Acer hyrcanum Fisch. & C.A.Mey.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer hyrcanum,
BestMatch,9.41215,Exact,0,Acer japonicum,Acer japonicum Thunb.,Acer japonicum,94BL,Acer japonicum Thunb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer japonicum,
BestMatch,9.41215,Exact,0,Acer monspessulanum,Acer monspessulanum L.,Acer monspessulanum,64FK9,Acer monspessulanum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer monspessulanum,
BestMatch,9.41215,Exact,0,Acer negundo,Acer negundo L.,Acer negundo,94F5,Acer negundo L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer negundo,
