scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Convolvuleae,higher_taxon,tribe,suffix,6,10,10,Calystegia sepium,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Convolvulaceae|Convolvuloideae|Convolvuleae|Convolvulus|Convolvulus sepium|Convolvulus sepium sepium
Coptideae,higher_taxon,tribe,suffix,1,10,10,Coptis trifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Coptidoideae|Coptideae|Coptis|Coptis trifolia
Coreopsideae,higher_taxon,tribe,suffix,22,10,10,Bidens aristosa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Coreopsideae|Coreopsidinae|Bidens|Bidens aristosa
Coriandreae,higher_taxon,tribe,suffix,2,10,10,Coriandrum sativum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Coriandreae|Coriandrum|Coriandrum sativum
Cornus,higher_taxon,genus,path_depth,11,10,10,Cornus alba,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cornales|Cornaceae|Cornoideae|Cornus|Cornus alba
Coronilla varia,higher_taxon,genus,path_depth,1,10,10,Securigera varia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Coronilla|Coronilla varia
Corydaleae,higher_taxon,tribe,suffix,6,10,10,Corydalis cava,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Papaveraceae|Fumarioideae|Corydaleae|Corydalis|Corydalis cava
Coryleae,higher_taxon,tribe,suffix,3,10,10,Corylus avellana,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Coryloideae|Coryleae|Corylus|Corylus avellana
Corylopsideae,higher_taxon,tribe,suffix,4,10,10,Corylopsis pauciflora,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Hamamelidaceae|Hamamelidoideae|Corylopsideae|Corylopsis|Corylopsis pauciflora
Cotinus,higher_taxon,genus,path_depth,1,10,10,Cotinus coggygria,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Anacardiaceae|Rhoeae|Cotinus|Cotinus coggygria
Cotyledoneae,higher_taxon,tribe,suffix,3,10,10,Cotyledon orbiculata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Cotyledonoideae|Cotyledoneae|Cotyledon|Cotyledon orbiculata
Crassula,higher_taxon,genus,path_depth,10,10,10,Crassula deceptor,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Crassuloideae|Crassula|Crassula deceptor
Crescentia,higher_taxon,genus,path_depth,1,10,10,Crescentia cujete,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Bignoniaceae|Crescentieae|Crescentia|Crescentia cujete
Crotoneae,higher_taxon,tribe,suffix,1,10,10,Croton fruticulosus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Crotonoideae|Crotoneae|Croton|Croton fruticulosus
Cryptogramma,higher_taxon,genus,path_depth,1,10,10,Cryptogramma crispa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Polypodiales|Pteridaceae|Cryptogrammoideae|Cryptogramma|Cryptogramma crispa
Cryptomeria,higher_taxon,genus,path_depth,1,10,10,Cryptomeria japonica,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Cryptomeria|Cryptomeria japonica
Cucumis,higher_taxon,genus,path_depth,4,10,10,Cucumis dipsaceus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cucurbitales|Cucurbitaceae|Benincaseae|Cucumis|Cucumis dipsaceus
Cucurbita,higher_taxon,genus,path_depth,4,10,10,Cucurbita ficifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cucurbitales|Cucurbitaceae|Cucurbiteae|Cucurbita|Cucurbita ficifolia
Cunninghamia,higher_taxon,genus,path_depth,1,10,10,Cunninghamia lanceolata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Cunninghamia|Cunninghamia lanceolata
Cuphea,higher_taxon,genus,path_depth,5,10,10,Cuphea cyanea,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Myrtales|Lythraceae|Punicoideae|Cuphea|Cuphea cyanea
Cupressus,higher_taxon,genus,path_depth,2,10,10,Cupressus cashmeriana,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Cupressus|Cupressus cashmeriana
