scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Escallonioideae,higher_taxon,subfamily,suffix,1,9,9,Escallonia rubra,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Escalloniales|Escalloniaceae|Escallonioideae|Escallonia|Escallonia rubra,BestMatch,9.41215,Exact,0,Escallonioideae,Escallonioideae Burnett,Escallonioideae,JJV,Escallonioideae Burnett,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Escalloniales|Escalloniaceae|Escallonioideae,
Etlingera,higher_taxon,genus,path_depth,1,9,9,Etlingera elatior,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Zingiberaceae|Etlingera|Etlingera elatior,BestMatch,9.41215,Exact,0,Etlingera,Etlingera Giseke,Etlingera,8VXHY,Etlingera Giseke,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Zingiberaceae|Etlingera,
Eucomis,higher_taxon,genus,path_depth,4,9,9,Eucomis autumnalis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Eucomis|Eucomis autumnalis,BestMatch,9.41215,Exact,0,Eucomis,Eucomis L'Hér.,Eucomis,8VXJT,Eucomis L'Hér.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Eucomis,
Eucommia,higher_taxon,genus,path_depth,1,9,9,Eucommia ulmoides,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Garryales|Eucommiaceae|Eucommia|Eucommia ulmoides,BestMatch,9.41215,Exact,0,Eucommia,Eucommia Oliv.,Eucommia,8VXJV,Eucommia Oliv.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Garryales|Eucommiaceae|Eucommia,
Euphorbioideae,higher_taxon,subfamily,suffix,57,9,9,Euphorbia aeruginosa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Euphorbioideae|Euphorbieae|Euphorbiinae|Euphorbia|Euphorbia aeruginosa,BestMatch,9.41215,Exact,0,Euphorbioideae,Euphorbioideae Beilschm.,Euphorbioideae,V5GXB,Euphorbioideae Beilschm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Euphorbioideae,
Euptelea,higher_taxon,genus,path_depth,1,9,9,Euptelea polyandra,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Eupteleaceae|Euptelea|Euptelea polyandra,BestMatch,9.41215,Exact,0,Euptelea,Euptelea Siebold & Zucc.,Euptelea,4GH9,Euptelea Siebold & Zucc.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Eupteleaceae|Euptelea,
Exobasidium warmingii,higher_taxon,genus,path_depth,1,9,9,Arcticomyces warmingii,Eukaryota|Fungi|Basidiomycota|Exobasidiomycetes|Exobasidiales|Exobasidiaceae|Exobasidium|Exobasidium warmingii,BestMatch,9.41215,Exact,0,Exobasidium warmingii,Exobasidium warmingii Rostr.,Exobasidium warmingii,3DLLS,Exobasidium warmingii Rostr.,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota|Exobasidiomycetes|Exobasidiales|Exobasidiaceae|Exobasidium|Exobasidium warmingii,
Fagoideae,higher_taxon,subfamily,suffix,1,9,9,Fagus sylvatica,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Fagoideae|Fagus|Fagus sylvatica,BestMatch,9.41215,Exact,0,Fagoideae,Fagoideae K.Koch,Fagoideae,V5959,Fagoideae K.Koch,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Fagoideae,
Falona,higher_taxon,genus,path_depth,1,9,9,Cynosurus echinatus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Falona|Falona echinata,BestMatch,9.41215,Exact,0,Falona,Falona Adans.,Falona,8WFRJ,Falona Adans.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Falona,
Fargesia,higher_taxon,genus,path_depth,1,9,9,Fargesia robusta,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Fargesia|Fargesia robusta,BestMatch,9.41215,Exact,0,Fargesia,Fargesia Franch.,Fargesia,8VXNB,Fargesia Franch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Fargesia,
